第617条	Update sql language syntax
第831条	Add syntax highlighting for .gitmodules
第1165条	Added syntax highlighting to CSS transition properties
第1408条	When wrapping with Emmet, consider the document language when setting the syntax.
第1698条	add .vscodeignore syntax highlighting
第2040条	Support C# in markdown preview code block syntax highlighting.
第2145条	Fixed #59395 - Emmet Syntax Profiles tag_nl produces no extra space
第2221条	Added JSON5 syntax
第2246条	Use textmate/swift.tmbundle for Swift syntax.
第2400条	Use the new VSTS YAML syntax
第2820条	Escape special characters in `meta.separator` regex (Markdown syntax)
第2895条	[powershell] Update PowerShell Editor Syntax.
第2984条	Update SCSS syntax extension
第3267条	typescript.experimental.syntaxFolding
第3553条	mistyped pattern name in css syntax
第3602条	Fix Markdown quote syntax highlight(fix #38523)
第3686条	Revert "Fixes markdown link syntax highlighting bug"
第3688条	Fixes markdown link syntax highlighting bug
第3735条	Fix array syntax in debug/electron-browser/debugViewer.ts
第3754条	TSLint: Fixed Syntax Warning
第3831条	Support syntax highlighting of detail section in CompletionItems
第4029条	Adding ractive syntax highlighting to vscode
第4230条	Richer R syntax definition by R-Box
第4394条	Lua syntax extension is missing 'goto' keyword
第4450条	Capture regexp begin/end as punctuation in Clojure syntax
第4451条	Detect more def* forms in Clojure syntax
第4483条	Fix #24971. PowerShell Extension .bat & .exe Syntax Highlighting Error
第4778条	Implement HLSL syntax highlighting, and use HLSL grammar to highlight Cg blocks in ShaderLab files
第4894条	xhtml is a profile not syntax in emmet
第4935条	Fix Autolink Syntax Highlighting in Markdown
第4940条	Fix markdown syntax highlighting for script or style html elements with blank lines
第4958条	Add syntax highlighting for JS/TS template string interpolation (Monokai built-in theme)
第5102条	Enable PHP syntax highlighting without <?php, also fix markdown + PHP code fence issues
第5156条	14945 - Updates regex for CoffeeScript block comment syntax highlighting
第5193条	Improve Markdown Syntax Highlighting of Nested Lists
第5194条	Fix Fenced Code Syntax Highlighting in Markdown Leaking
第5244条	Add syntax color to theme-seti
第5308条	Add Syntax Highlighting for C# Fenced Code Blocks in Markdown Files
第5323条	Fix Perl POD comment syntax highlighting
第5376条	Fixed: Markdown syntax highlighting to support alternative header styles
第5380条	Emmet tweaks: simplify set/reset Emmet preferences and syntax profiles
第5442条	Fix #9922: Roll back PowerShell syntax definition
第5450条	Fixes for PowershellSyntax.tmLanguage
第5474条	C syntax - Match for pointer access added to c.json
第5486条	Addition of GO INTO T-SQL syntax
第5537条	Addition of USE EXEC OPENQUERY syntax
第5544条	Support for Emmet preferences and syntaxProfiles
第5617条	Fix Jade syntax highlighting issues
第5763条	[go syntax] Don't treat multiline `var` specially
第5782条	Update Rust Syntax to Fix Ligatures
第5783条	Updated Swift Autocompletion Syntax
第5822条	Fixes to C++ and C syntax
第5829条	fix [sql] syntax highlighting error #1634
第5871条	[bat] Fix batch syntax
第5893条	[css] Fix linear-gradient() snippet syntax
第5907条	[ruby] Added .rake extension to use ruby syntax
第5910条	[css] Add syntax highlighting for additional CSS units
第5923条	[vb] Syntax Highlighting for Roku's BrightScript Language
第5947条	add <picture> element to HTML/CSS intellisense and syntax highlighting
第5966条	Fix function keyword syntax
第5975条	syntax highlighting for c++: 'value' keyword removed.
